timestamp_unix,30,60,Ballen
1715724000,,22.6,19.2
1715810400,21.0,23.7,19.5
1715896800,21.0,24.4,19.7
1715983200,21.1,24.3,19.6
1716069600,22.7,24.2,19.5
1716156000,24.8,24.2,19.4
1716242400,24.5,24.3,19.4
1716328800,26.3,25.4,20.4
1716415200,26.9,26.0,20.7
1716501600,27.4,26.0,20.7
1716588000,27.7,25.9,20.7
1716674400,27.6,25.8,20.6
1716760800,27.7,25.8,20.7
1716847200,28.0,26.8,21.4
1716933600,27.9,26.9,21.5
1717020000,27.9,27.1,21.4
1717106400,34.9,33.3,30.4
1717192800,37.5,35.8,31.3
1717279200,37.4,36.1,28.3
1717365600,37.3,35.9,27.2
1717452000,36.4,35.9,24.6
1717884000,28.7,34.5,14.1
1717970400,27.3,34.2,13.3
1718056800,26.3,33.3,12.7
1718143200,25.6,32.4,12.1
1718229600,24.7,31.3,11.5
1718316000,24.2,30.4,16.1
1718402400,24.1,29.6,17.6
1718488800,24.1,29.4,16.4
1718575200,27.1,30.1,15.8
1718661600,27.5,30.5,17.6
1718748000,28.4,31.1,20.1
1718834400,28.6,31.5,19.8
1718920800,28.0,31.6,18.3
1719007200,27.2,31.7,16.7
1719093600,26.4,31.5,15.2
1719180000,25.8,31.2,16.3
1719266400,25.0,30.9,17.0
1719352800,24.4,30.4,14.8
1719439200,23.7,29.6,13.2
1719525600,23.4,29.1,12.5
1719612000,23.3,28.6,11.8
1719698400,28.0,30.4,14.3
1719784800,28.9,31.1,18.8
1719871200,29.6,31.9,19.8
1719957600,30.2,32.2,20.1
1720044000,30.3,32.3,20.1
1720130400,30.4,32.4,20.0
1720216800,29.9,32.2,18.8
1720303200,29.0,32.2,17.1
1720389600,27.7,32.0,20.6
1720476000,26.6,31.6,18.4
1720562400,26.1,31.5,17.4
1720648800,28.0,32.0,21.9
1720735200,28.4,31.4,21.7
1720821600,28.8,29.1,21.8
1720908000,28.6,28.9,19.5
1720994400,27.6,28.7,17.5
1721080800,26.6,28.5,20.7
1721167200,26.3,28.7,20.7
1721253600,26.0,28.9,18.9
1721340000,25.7,28.8,16.7
1721426400,25.0,28.6,14.7
1721512800,24.1,28.2,13.2
1721599200,27.2,29.3,19.7
1721685600,27.7,29.4,20.4
1721772000,28.2,29.6,20.5
1721858400,27.9,29.6,19.3
1721944800,27.3,29.6,17.7
1722031200,26.5,29.6,16.6
1722117600,27.9,30.2,21.5
1722204000,27.9,30.1,20.3
1722290400,27.4,29.9,18.2
1722376800,26.4,29.8,16.0
1722463200,25.4,29.6,14.3
1722549600,24.2,29.3,13.2
1722636000,23.2,28.5,12.3
1722722400,22.5,27.7,11.5
1722808800,22.0,26.7,18.0
1722895200,21.8,26.1,16.6
1722981600,21.4,25.3,14.5
1723068000,20.9,24.5,13.2
1723154400,20.4,23.8,12.2
1723240800,20.0,23.2,11.7
1723327200,19.5,22.4,11.0
1723413600,18.9,21.8,10.2
1723500000,18.5,21.1,15.5
1723586400,18.8,21.0,17.1
1723672800,19.7,21.2,17.9
1723759200,19.7,21.2,16.5
1723845600,21.9,21.3,16.2
1723932000,25.3,22.8,18.8
1724018400,25.6,24.1,19.5
1724104800,25.1,24.1,20.7
1724191200,25.0,24.3,20.9
1724277600,24.8,24.3,19.3
1724364000,24.1,24.0,17.3
1724450400,23.2,23.8,15.6
1724536800,22.6,23.5,14.3
1724623200,22.1,23.1,13.7
1724709600,21.5,22.7,12.9
1724796000,20.7,22.1,12.1
1724882400,19.8,21.6,11.3
1724968800,19.3,21.3,10.9
1725055200,19.3,21.0,10.9
1725141600,19.1,20.8,10.7
1725228000,18.7,20.5,10.4
1725314400,18.4,20.2,13.3
1725400800,18.4,20.1,16.0
1725487200,18.4,20.1,15.0
1725573600,18.3,20.0,13.4
1725660000,18.1,19.9,12.3
1725746400,17.7,19.6,11.4
1725832800,19.2,19.6,12.4
1725919200,20.4,19.8,13.3
1726005600,20.8,20.0,13.7
1726092000,21.5,20.1,14.6
1726178400,21.5,20.4,14.8
1726264800,21.4,20.5,14.6
1726351200,21.0,20.5,14.2
1726437600,20.9,20.3,13.8
1726524000,20.6,20.3,13.5
1726610400,20.2,20.3,17.3
1726696800,20.2,20.3,19.4
1726783200,20.0,20.3,17.9
1726869600,19.7,20.2,16.4
1726956000,19.4,20.1,15.1
1727042400,19.0,20.1,14.1
1727128800,18.7,20.0,13.5
1727215200,18.6,19.9,13.4
1727301600,20.6,20.3,15.0
1727388000,22.8,21.1,17.2
1727474400,23.1,21.5,18.1
1727560800,23.2,21.9,18.5
1727647200,23.0,21.9,18.3
1727733600,24.4,22.2,20.0
1727820000,25.8,23.4,21.1
1727906400,25.3,23.7,20.6
1727992800,24.8,23.6,20.2
1728079200,24.4,23.5,19.7
1728165600,24.0,23.3,19.4
1728252000,23.7,23.1,19.0
1728338400,23.3,23.1,18.6
1728424800,23.2,22.8,18.6
1728511200,24.8,23.0,20.3
1728597600,25.5,23.8,20.7
1728684000,25.1,23.8,20.2
1728770400,24.5,23.6,20.1
1728856800,24.4,23.5,19.9
1728943200,24.2,23.5,19.6
1729029600,23.9,23.3,19.3
1729116000,23.5,23.2,19.0
1729202400,23.3,23.0,18.7
1729288800,23.1,22.9,18.8
1729375200,23.1,22.8,19.2
1729461600,23.2,22.7,19.0
1729548000,23.2,22.7,19.0
1729634400,23.5,22.7,19.2
1729720800,23.4,22.7,19.0
1729807200,23.3,22.7,18.8
1729893600,23.1,22.6,18.6
1729980000,23.0,22.6,18.3
1730070000,22.9,22.5,18.1
1730156400,22.7,22.4,17.9
1730242800,22.6,22.4,17.7
1730329200,22.4,22.2,17.5
1730415600,22.2,22.2,17.3
1730502000,22.1,22.1,17.0
1730588400,21.9,22.0,16.9
1730674800,21.9,21.9,16.7
1730761200,21.8,21.8,16.7
1730847600,21.6,21.7,16.6
1730934000,21.5,21.7,16.6
1731020400,21.4,21.6,16.5
1731106800,21.3,21.5,16.4
1731193200,21.1,21.4,16.3
1731279600,20.9,21.4,16.2
1731366000,21.3,21.3,16.6
1731452400,21.5,21.4,17.0
1731538800,24.2,21.4,19.6
1731625200,25.0,22.1,20.7
1731711600,24.7,22.5,20.4
1731798000,24.5,22.6,20.5
1731884400,24.9,22.9,20.7
1731970800,25.4,23.2,23.3
1732057200,26.1,23.7,23.0
1732143600,25.7,23.8,22.1
1732230000,25.4,23.9,21.7
1732316400,25.3,23.8,21.7
1732402800,25.3,23.8,22.2
1732489200,25.3,23.8,21.7
1732575600,25.0,23.8,21.3
1732662000,25.0,23.8,21.5
1732748400,25.5,23.8,21.7
1732834800,25.6,24.0,21.6
1732921200,25.2,24.0,21.3
1733007600,25.0,23.9,21.1
1733094000,24.7,23.8,20.9
1733180400,24.6,23.8,20.9
1733266800,24.6,23.7,21.0
1733353200,24.6,23.6,20.9
1733439600,25.1,23.7,22.1
1733526000,26.2,24.1,22.6
1733612400,26.1,24.3,22.1
1733698800,26.2,24.4,22.1
1733785200,26.3,24.6,22.1
1733871600,25.9,24.4,21.6
1733958000,25.6,24.4,21.4
1734044400,25.3,24.2,21.2
1734130800,25.0,24.1,21.1
1734217200,24.9,24.0,20.9
1734303600,24.7,24.0,21.2
1734390000,25.0,23.9,21.5
1734476400,25.0,23.9,21.3
1734562800,24.8,23.8,21.1
1734649200,25.1,23.9,21.5
1734735600,25.0,24.0,21.4
1734822000,25.6,23.9,22.2
1734908400,26.2,24.3,22.4
1734994800,26.3,24.4,22.1
1735081200,25.9,24.4,21.8
1735167600,25.6,24.3,21.5
1735254000,25.3,24.2,21.3
1735340400,25.1,24.1,21.2
1735426800,25.0,24.1,21.0
1735513200,24.8,24.0,20.9
1735599600,24.6,23.9,20.8
1735686000,24.5,23.8,20.7
1735772400,24.4,23.8,21.0
1735858800,24.6,23.8,21.1
1735945200,24.5,23.8,21.0
1736031600,25.5,24.0,21.8
1736118000,27.9,25.5,23.1
1736204400,27.6,25.1,22.4
1736290800,27.7,24.9,22.2
1736377200,27.4,24.8,22.8
1736463600,28.3,25.4,23.7
1736550000,28.2,25.4,22.9
1736636400,28.0,25.2,22.6
1736722800,27.7,25.0,22.1
1736809200,27.1,24.8,21.5
1736895600,26.5,24.5,21.4
1736982000,26.0,24.4,21.7
1737068400,26.0,24.4,21.6
1737154800,25.9,24.3,21.5
1737241200,25.7,24.2,21.4
1737327600,25.5,24.3,21.2
1737414000,25.4,24.2,21.1
1737500400,25.1,24.1,21.0
1737586800,24.7,24.0,20.9
1737673200,24.8,23.9,21.0
1737759600,25.2,24.0,21.1
1737846000,26.6,24.8,23.3
1737932400,26.3,24.8,22.7
1738018800,26.0,24.7,22.2
1738105200,25.9,24.6,21.8
1738191600,26.1,24.5,21.7
1738278000,26.8,24.9,22.7
1738364400,26.7,24.9,22.1
1738450800,26.5,24.8,22.0
1738537200,26.3,24.6,21.7
1738623600,26.0,24.6,21.5
1738710000,25.7,24.5,21.3
1738796400,25.3,24.4,21.2
1738882800,25.0,24.3,21.2
1738969200,24.9,24.2,20.9
1739055600,24.8,24.2,20.9
1739142000,24.6,24.1,20.7
1739228400,24.5,24.0,20.6
1739314800,24.3,24.0,20.4
1739401200,24.1,23.9,20.3
1739487600,24.0,23.8,20.2
1739574000,24.0,23.8,20.3
1739660400,24.0,23.8,20.4
1739746800,24.0,23.8,20.4
1739833200,24.0,23.6,20.2
1739919600,23.6,23.6,19.8
1740006000,23.0,23.6,19.3
1740092400,22.5,23.5,19.0
1740178800,22.5,23.3,19.2
1740265200,22.9,23.3,19.5
1740351600,23.0,23.1,19.7
1740438000,23.1,23.1,19.7
1740524400,23.1,23.2,19.7
1740610800,23.1,23.2,19.7
1740697200,23.2,23.1,19.8
1740783600,23.6,23.1,20.0
1740870000,23.8,23.1,20.2
1740956400,23.8,23.2,20.1
1741042800,23.7,23.2,20.1
1741129200,23.6,23.2,20.0
1741215600,23.5,23.2,20.0
1741302000,23.3,23.2,19.7
1741388400,23.1,23.1,19.7
1741474800,22.8,23.1,19.6
1741561200,22.5,23.0,19.4
1741647600,22.3,22.9,19.2
1741734000,22.1,22.9,19.0
1741820400,21.9,22.8,18.9
1741906800,21.6,22.7,18.7
1741993200,21.5,22.6,18.6
1742079600,21.3,22.5,18.5
1742166000,21.1,22.4,18.4
1742252400,20.9,22.2,18.3
1742338800,20.8,22.2,18.1
1742425200,20.5,22.0,17.9
1742511600,20.2,21.9,17.7
1742598000,20.1,21.8,17.6
1742684400,19.8,21.6,17.4
1742770800,19.6,21.6,17.1
1742857200,19.4,21.4,16.9
1742943600,19.4,21.3,17.8
1743030000,19.5,21.2,18.3
1743116400,19.6,21.2,18.6
1743202800,19.7,21.2,18.6
1743289200,19.6,21.2,18.5
1743372000,19.7,21.1,18.5
1743458400,19.7,21.0,18.5
1743544800,19.8,21.0,18.4
1743631200,19.7,21.0,18.2
1743717600,19.6,21.0,18.0
1743804000,19.5,20.9,17.8
1743890400,19.4,20.9,17.7
1743976800,19.3,20.8,17.5
1744063200,19.1,20.8,17.2
1744149600,19.0,20.7,17.0
1744236000,18.9,20.6,16.8
1744322400,18.9,20.5,16.6
1744408800,18.8,20.6,16.3
1744495200,18.7,20.4,16.1
1744581600,18.6,20.3,15.9
1744668000,18.5,20.3,20.8
1744754400,18.5,20.2,20.8
1744840800,18.6,20.3,20.0
1744927200,18.8,20.3,21.0
1745013600,19.0,20.3,21.1
1745100000,19.4,20.4,20.7
1745186400,19.5,20.5,20.2
1745272800,19.5,20.5,21.6
1745359200,19.6,20.6,21.9
1745445600,19.8,20.6,22.1
1745532000,20.1,20.7,21.6
1745618400,20.2,20.8,20.9
1745704800,20.1,20.8,20.1
1745791200,19.9,20.8,19.3
1745877600,19.6,20.7,18.0
1745964000,19.1,20.5,16.5
1746050400,18.5,20.2,14.9
1746136800,17.8,19.7,13.4
1746223200,17.4,19.4,12.5
1746309600,17.0,19.0,11.9
1746396000,16.7,18.7,11.5
1746482400,16.5,18.4,11.2
1746568800,16.2,18.1,17.3
1746655200,16.0,18.0,16.8
1746741600,15.9,17.8,15.0
1746828000,15.5,17.7,13.4
1746914400,15.4,17.5,12.5
1747000800,14.7,17.1,11.0
1747087200,14.3,16.8,10.4
1747173600,14.0,16.5,15.8
1747260000,13.9,16.6,15.4
1747346400,13.9,16.6,13.6
1747432800,13.8,16.5,12.4
1747519200,13.7,16.4,11.6
1747605600,13.6,16.2,10.8
1747692000,13.3,15.9,10.1
1747778400,13.1,15.7,15.5
1747864800,13.1,15.8,15.5
1747951200,13.2,15.9,14.7
1748037600,13.1,15.8,13.2
1748124000,13.3,15.8,12.8
1748210400,13.2,15.8,12.2
1748296800,13.1,15.6,11.3
1748383200,13.2,15.6,17.3
1748469600,13.3,15.8,17.4
1748556000,13.4,15.8,15.7
1748642400,13.2,15.7,13.4
1748728800,13.1,15.5,11.8
1748815200,13.0,15.4,10.8
1748901600,12.8,15.1,9.9
1748988000,12.4,14.6,9.1
1749074400,12.2,14.4,17.0
1749160800,12.2,14.5,16.8
1749247200,12.3,14.5,14.5
1749333600,12.4,14.6,13.5
1749420000,12.5,14.6,13.8
1749506400,12.5,14.6,13.4
1749592800,12.5,14.5,12.6
1749679200,12.3,14.3,11.3
1749765600,12.3,14.2,16.6
1749852000,12.3,14.2,15.0
1749938400,12.4,14.2,13.5
1750024800,12.4,14.3,12.9
1750111200,12.3,14.2,11.8
1750197600,12.2,13.9,10.6
1750284000,12.1,13.8,16.6
1750370400,12.1,13.8,15.1
1750456800,12.0,13.8,12.7
1750543200,11.9,13.5,10.8
1750629600,11.7,13.3,9.7
1750716000,11.5,13.2,9.3
1750802400,11.4,13.0,8.9
1750888800,11.4,12.9,15.2
1750975200,11.5,13.1,15.6
1751061600,11.5,13.1,13.8
1751148000,11.5,12.9,11.8
1751234400,11.3,12.8,10.5
1751320800,11.2,12.5,9.2
1751407200,11.0,12.1,8.4
1751493600,10.7,11.8,7.9
1751580000,10.3,11.6,7.5
1751666400,10.0,11.3,7.2
1751752800,9.8,11.1,7.1
1751839200,9.7,11.1,6.9
1751925600,9.6,11.0,6.9
1752012000,9.5,10.9,6.8
1752098400,9.5,10.8,6.8
1752184800,9.4,10.8,11.2
1752271200,9.5,11.0,14.2
1752357600,9.6,11.2,15.2
1752444000,9.7,11.1,13.0
1752530400,9.7,11.1,12.0
1752616800,9.7,11.2,13.6
1752703200,9.9,11.3,23.4
1752789600,10.1,11.4,21.8
1752876000,10.5,11.5,17.1
1752962400,10.9,11.5,13.6
1753048800,11.1,11.6,12.3
1753135200,11.1,11.7,11.4
1753221600,11.0,11.7,10.7
1753308000,11.0,11.7,16.7
1753394400,11.1,11.8,17.1
1753480800,11.2,12.0,16.6
1753567200,11.2,12.0,14.3
1753653600,11.3,12.2,17.5
1753740000,11.5,12.2,15.3
1753826400,11.5,12.3,13.5
1753912800,11.5,12.4,12.3
1753999200,11.5,12.4,12.1
1754085600,11.6,12.5,14.4
1754172000,11.7,12.5,14.0
1754258400,11.9,12.5,14.1
1754344800,12.1,12.5,13.3
1754431200,12.1,12.4,12.0
1754517600,11.9,12.3,10.7
1754604000,11.6,12.1,9.5
1754690400,11.3,11.9,8.6
1754776800,10.9,11.7,8.0
1754863200,10.5,11.5,7.6
1754949600,10.3,11.4,7.3
1755036000,10.0,11.2,7.0
1755122400,9.8,11.1,6.9
1755208800,9.7,11.0,11.8
1755295200,9.7,11.2,14.4
1755381600,9.7,11.3,12.7
1755468000,9.7,11.3,11.4
1755554400,9.7,11.2,10.0
1755640800,9.6,11.2,8.9
1755727200,9.6,11.1,8.0
1755813600,9.4,10.9,7.4
1755900000,9.4,10.9,7.2
1755986400,9.2,10.8,6.9
1756072800,9.2,10.7,6.7
1756159200,9.1,10.6,6.6
1756245600,8.9,10.4,6.5
1756332000,8.9,10.4,6.5
1756418400,8.8,10.4,7.5
1756504800,8.8,10.4,7.3
1756591200,8.7,10.2,6.9
1756677600,8.7,10.2,6.7
1756764000,8.6,10.2,6.6
1756850400,8.5,10.0,6.4
1756936800,8.7,10.2,9.4
1757023200,8.9,10.5,11.1
1757109600,8.5,10.1,14.7
1757196000,8.6,10.2,12.7
1757282400,8.6,10.2,11.2
1757368800,8.6,10.2,9.9
