timestamp_unix,30,60,90,Ballen
1715724000,16.4,19.3,8.6,37.0
1715810400,16.6,10.2,10.5,41.0
1715896800,16.9,17.6,10.5,48.4
1715983200,16.0,8.6,8.2,28.1
1716069600,16.1,8.0,7.0,25.5
1716156000,20.5,9.9,7.7,28.7
1716242400,16.2,10.1,6.9,35.2
1716328800,17.9,9.7,7.8,39.8
1716415200,9.6,3.0,10.6,25.6
1716501600,5.7,0.0,8.7,26.5
1716588000,7.0,0.9,7.6,30.8
1716674400,10.9,0.0,15.2,36.1
1716760800,3.9,11.1,10.8,35.1
1716847200,2.7,0.0,11.2,32.7
1716933600,0.0,0.6,6.6,30.1
1717020000,3.3,0.0,11.1,6.4
1717106400,3.8,7.8,9.4,7.2
1717192800,11.2,9.8,5.5,11.7
1717279200,5.5,12.8,11.5,13.4
1717365600,17.4,6.5,12.1,18.2
1717452000,6.8,0.0,11.7,21.6
1717538400,8.2,0.0,8.1,27.6
1717624800,8.0,0.0,8.0,36.2
1717711200,10.3,0.0,11.7,43.8
1717797600,11.5,5.3,7.0,54.4
1717884000,14.6,9.2,11.3,68.1
1717970400,14.2,6.9,8.9,86.0
1718056800,16.4,8.6,11.1,105.4
1718143200,16.2,7.6,9.5,121.2
1718316000,16.9,7.2,5.2,147.0
1718402400,15.7,8.1,3.2,10.0
1718488800,11.8,11.8,4.3,16.6
1718575200,9.8,13.3,3.5,16.5
1718661600,14.1,6.4,6.8,6.7
1718748000,7.2,12.6,5.4,0.0
1718834400,14.7,10.8,5.0,11.7
1718920800,11.9,16.1,4.9,14.3
1719007200,10.7,6.0,6.3,17.8
1719093600,12.1,17.4,6.3,24.0
1719180000,15.1,14.3,6.6,30.9
1719266400,12.4,0.4,10.0,34.5
1719352800,12.6,4.9,10.1,38.0
1719439200,15.1,0.5,9.0,42.1
1719525600,15.0,2.3,10.2,52.3
1719612000,15.8,8.2,10.2,66.4
1719698400,12.9,3.1,8.6,56.1
1719784800,9.9,0.0,11.0,8.0
1719871200,3.5,0.0,11.5,10.8
1719957600,5.4,0.0,11.8,6.6
1720044000,1.3,0.1,11.4,2.9
1720130400,0.7,0.8,11.4,3.6
1720216800,2.8,0.9,11.3,13.9
1720303200,5.8,5.9,12.4,20.3
1720389600,5.0,2.9,11.7,18.3
1720476000,8.5,6.1,11.3,13.4
1720562400,8.0,8.5,11.5,21.0
1720648800,7.1,7.4,11.7,8.9
1720735200,4.7,9.1,12.0,7.2
1720821600,4.3,9.3,12.2,12.3
1720908000,0.0,9.3,12.1,14.5
1720994400,2.7,10.2,12.1,22.0
1721080800,4.4,10.6,12.4,17.3
1721167200,0.0,10.9,12.3,15.0
1721253600,0.0,10.9,12.3,16.8
1721340000,0.0,10.8,12.7,22.7
1721426400,2.2,10.9,12.7,31.7
1721512800,9.7,10.8,12.5,41.2
1721599200,2.9,11.0,13.6,39.4
1721685600,0.0,9.2,12.7,13.0
1721772000,0.0,8.3,13.4,12.9
1721858400,0.0,9.4,13.2,15.4
1721944800,0.1,10.7,13.2,20.3
1722031200,0.4,11.0,12.8,23.4
1722117600,0.4,8.8,13.1,17.1
1722204000,6.5,8.5,14.4,18.2
1722290400,11.7,8.8,13.5,20.9
1722376800,2.8,10.6,13.4,28.5
1722463200,9.6,10.5,13.4,36.0
1722549600,12.8,10.9,13.0,43.4
1722636000,14.8,11.4,13.2,51.8
1722722400,16.8,11.5,13.1,62.0
1722808800,18.2,11.0,13.3,71.5
1722895200,17.9,10.4,13.4,27.4
1722981600,18.5,7.1,13.2,27.0
1723068000,19.6,8.6,13.1,32.3
1723154400,20.8,10.7,17.7,37.8
1723240800,21.7,11.5,13.1,41.5
1723327200,22.3,12.3,12.5,47.5
1723413600,23.1,13.1,12.3,55.3
1723500000,22.0,12.8,12.3,34.3
1723586400,15.4,11.5,11.9,12.8
1723672800,13.8,10.8,11.8,10.7
1723759200,10.4,10.8,11.6,15.8
1723845600,5.7,5.5,11.7,15.1
1723932000,0.0,0.0,11.3,12.3
1724018400,0.0,0.0,11.8,17.3
1724104800,0.0,0.0,12.2,14.3
1724191200,0.0,0.0,12.2,14.1
1724277600,5.6,0.4,11.4,14.8
1724364000,1.6,0.3,11.8,20.2
1724450400,10.9,0.8,11.9,24.9
1724536800,4.1,1.4,11.3,30.9
1724623200,9.6,2.5,10.1,38.0
1724709600,12.4,3.1,8.2,43.9
1724796000,14.4,5.4,10.5,49.4
1724882400,16.1,10.1,10.4,55.3
1724968800,14.8,10.6,10.5,66.6
1725055200,15.3,10.8,10.5,82.3
1725141600,16.8,11.6,10.4,96.4
1725228000,19.3,12.9,10.6,113.7
1725314400,20.2,13.4,10.7,91.8
1725400800,15.6,11.6,10.9,13.5
1725487200,14.6,11.1,11.1,16.6
1725573600,15.7,11.4,11.1,22.0
1725660000,17.2,11.9,11.0,26.6
1725746400,19.3,12.5,10.9,32.0
1725832800,8.7,0.3,11.1,36.7
1725919200,5.4,0.3,10.9,38.0
1726005600,3.9,1.2,10.9,40.1
1726092000,4.5,1.8,10.9,44.2
1726178400,8.4,2.2,10.9,47.1
1726264800,11.3,2.9,10.9,49.5
1726351200,13.1,5.3,10.9,52.0
1726437600,14.7,9.3,11.0,53.9
1726524000,16.1,10.7,11.0,55.2
1726610400,17.1,11.3,11.0,31.6
1726696800,16.6,11.2,11.0,14.8
1726783200,16.7,11.1,10.9,12.0
1726869600,17.4,11.3,11.0,17.0
1726956000,18.2,11.5,11.1,20.5
1727042400,19.2,11.9,11.2,23.3
1727128800,18.9,12.4,11.3,25.4
1727215200,16.8,12.3,11.4,27.6
1727301600,5.9,1.9,11.5,24.4
1727388000,4.0,2.7,11.5,18.4
1727474400,9.2,3.4,11.2,19.2
1727560800,1.5,3.9,10.2,20.1
1727647200,1.8,4.4,11.3,21.3
1727733600,4.0,3.8,11.6,12.9
1727820000,0.6,4.2,11.6,9.6
1727906400,0.8,4.2,11.3,8.8
1727992800,0.8,4.5,11.1,6.5
1728079200,1.1,4.6,11.4,8.7
1728165600,6.7,4.9,11.3,11.2
1728252000,1.5,4.7,11.0,12.7
1728338400,1.7,4.8,10.8,14.1
1728424800,1.8,5.1,10.9,14.1
1728511200,5.0,4.6,10.9,6.6
1728597600,0.3,4.5,11.2,9.3
1728684000,0.7,4.4,8.7,9.9
1728770400,0.7,4.3,11.2,6.6
1728856800,0.8,4.5,11.3,8.7
1728943200,1.1,4.5,11.2,14.7
1729029600,1.5,4.4,10.8,13.6
1729116000,2.3,4.8,11.0,15.1
1729202400,3.8,4.5,10.9,15.4
1729288800,3.2,5.0,11.2,15.2
1729375200,2.5,4.8,11.3,14.7
1729461600,2.4,4.7,11.4,14.7
1729548000,0.5,4.7,11.4,14.8
1729634400,6.1,4.5,11.3,15.3
1729720800,0.9,4.5,11.3,15.7
1729807200,4.3,5.0,11.3,16.7
1729893600,1.4,5.7,11.4,17.8
1729980000,3.6,6.4,11.5,18.5
1730070000,7.3,8.5,11.5,19.3
1730156400,10.5,10.0,12.4,19.8
1730242800,11.3,10.2,11.4,20.0
1730329200,12.1,10.5,11.5,20.8
1730415600,13.1,10.9,11.4,22.0
1730502000,14.1,11.3,11.3,23.2
1730588400,15.4,11.8,11.1,25.3
1730674800,16.3,12.4,11.2,26.1
1730761200,16.9,12.9,11.2,26.2
1730847600,17.7,13.3,11.4,26.5
1730934000,18.4,13.7,11.6,26.8
1731020400,19.3,14.1,11.8,27.6
1731106800,20.0,14.6,12.0,28.2
1731193200,20.4,15.0,12.2,28.6
1731279600,18.9,15.3,12.5,28.6
1731366000,16.6,14.9,15.0,28.8
1731452400,16.1,15.0,12.7,29.1
1731538800,5.3,13.8,12.8,23.1
1731625200,3.2,12.5,12.8,12.1
1731711600,3.4,12.5,12.7,13.9
1731798000,3.5,12.5,12.7,12.2
1731884400,6.7,11.6,12.7,10.2
1731970800,3.9,4.9,11.5,3.7
1732057200,4.1,3.2,11.1,0.7
1732143600,4.3,3.7,10.9,1.7
1732230000,7.6,3.9,10.8,4.3
1732316400,4.6,3.7,10.7,7.8
1732402800,3.9,3.5,10.7,2.3
1732489200,2.9,3.7,10.6,2.2
1732575600,12.1,3.9,9.6,2.4
1732662000,3.1,4.1,10.8,2.9
1732748400,4.5,3.8,20.1,3.3
1732834800,18.2,3.5,11.5,3.7
1732921200,10.9,3.4,10.7,6.5
1733007600,12.2,3.4,10.7,5.2
1733094000,5.8,3.6,10.7,7.6
1733180400,3.5,3.6,10.7,6.1
1733266800,7.8,3.6,10.7,6.4
1733353200,3.8,3.8,10.5,7.1
1733439600,3.5,3.5,10.7,6.4
1733526000,5.2,3.3,10.5,6.1
1733612400,13.0,3.2,13.0,6.4
1733698800,5.3,3.2,10.2,11.8
1733785200,6.1,3.0,10.2,11.9
1733871600,2.9,3.1,10.4,12.5
1733958000,8.4,3.1,10.5,8.8
1734044400,3.1,3.2,10.6,7.1
1734130800,11.5,3.4,10.6,10.0
1734217200,5.8,3.6,10.6,11.4
1734303600,2.6,3.5,10.6,7.7
1734390000,2.6,3.2,10.7,6.4
1734476400,3.0,3.2,10.9,6.6
1734562800,5.9,3.5,11.0,6.4
1734649200,2.1,3.7,11.0,9.8
1734735600,3.3,3.5,11.0,7.4
1734822000,2.4,3.4,11.0,8.4
1734908400,2.6,3.4,10.8,12.1
1734994800,4.0,3.4,10.7,7.2
1735081200,6.2,3.4,11.7,16.5
1735167600,4.7,3.6,10.7,6.4
1735254000,5.4,3.8,10.8,6.5
1735340400,4.0,4.0,10.8,13.6
