timestamp_unix,30,60,90,Ballen
1715724000,18.3,17.0,5.0,26.8
1715810400,17.1,15.0,4.9,29.4
1715896800,16.1,10.4,9.0,18.8
1715983200,14.9,12.1,13.2,16.4
1716069600,16.2,6.9,17.1,19.4
1716156000,18.9,9.2,7.1,20.1
1716242400,16.9,9.7,2.8,22.1
1716328800,3.5,11.5,10.9,16.7
1716415200,11.1,8.2,3.0,15.9
1716501600,4.8,5.7,10.3,15.9
1716588000,6.2,4.0,16.8,16.1
1716674400,8.3,6.2,10.1,18.4
1716760800,7.0,7.0,3.6,18.8
1716847200,8.3,1.0,13.9,15.2
1716933600,4.8,4.7,7.8,5.0
1717020000,8.8,14.5,12.0,3.2
1717106400,9.1,15.7,17.4,0.0
1717192800,4.8,19.7,12.7,9.0
1717279200,0.0,16.8,6.6,5.2
1717365600,1.8,12.3,14.5,7.1
1717452000,7.4,9.1,18.6,13.3
1717884000,4.3,4.2,20.0,34.8
1717970400,10.1,11.8,14.2,38.2
1718056800,11.2,0.1,18.0,41.9
1718143200,11.4,2.7,13.3,45.1
1718229600,12.0,0.5,14.8,46.8
1718316000,12.5,0.7,21.2,30.3
1718402400,12.5,9.0,13.9,19.8
1718488800,12.5,3.5,13.9,21.7
1718575200,1.9,3.8,13.8,24.4
1718661600,8.4,0.1,13.3,16.2
1718748000,3.2,0.5,18.2,9.1
1718834400,0.0,0.2,13.0,7.9
1718920800,0.0,0.2,12.2,15.2
1719007200,3.3,1.1,11.7,19.6
1719093600,0.0,5.3,15.8,24.5
1719180000,0.2,1.1,11.6,21.9
1719266400,1.8,3.4,11.3,18.6
1719352800,6.9,0.0,16.9,24.9
1719439200,10.0,0.0,7.0,31.4
1719525600,10.7,0.3,13.0,35.9
1719612000,11.3,0.4,14.9,39.6
1719698400,3.7,0.0,6.8,27.8
1719784800,15.9,0.0,4.8,6.4
1719871200,13.0,0.0,5.6,4.8
1719957600,15.4,0.2,8.4,3.8
1720044000,14.5,2.4,3.1,2.6
1720130400,15.9,5.3,6.7,3.5
1720216800,13.2,6.5,7.0,13.9
1720303200,17.2,6.2,5.3,18.4
1720389600,16.5,7.0,12.2,16.8
1720476000,10.6,5.2,4.2,15.5
1720562400,6.8,4.8,0.6,20.5
1720648800,15.3,4.2,0.2,0.4
1720735200,2.6,7.4,0.0,0.9
1720821600,0.0,3.5,0.0,2.5
1720908000,0.2,8.9,0.0,12.7
1720994400,3.7,10.1,3.0,18.7
1721080800,0.0,10.1,0.0,5.9
1721167200,0.0,10.0,17.6,5.8
1721253600,0.0,9.9,0.0,15.0
1721340000,0.0,10.0,0.0,22.2
1721426400,3.0,9.4,0.0,28.9
1721512800,4.2,10.3,0.0,35.7
1721599200,0.2,10.1,0.0,12.5
1721685600,0.2,7.0,0.0,6.3
1721772000,0.2,8.0,0.0,5.8
1721858400,1.8,7.7,0.0,13.3
1721944800,0.1,8.7,0.0,18.4
1722031200,0.1,6.2,0.0,22.0
1722117600,0.3,2.9,0.0,0.5
1722204000,0.4,2.3,0.0,6.8
1722290400,0.3,3.0,0.0,17.7
1722376800,0.5,3.9,3.0,24.7
1722463200,1.7,2.5,4.6,30.9
1722549600,8.1,1.8,0.0,37.8
1722636000,11.6,3.8,0.0,45.6
1722722400,13.8,2.1,6.7,51.2
1722808800,15.8,1.8,0.0,25.8
1722895200,16.6,1.5,0.2,23.4
1722981600,17.6,2.3,0.3,29.7
1723068000,19.1,4.7,7.1,36.8
1723154400,20.6,8.4,2.9,44.9
1723240800,21.5,13.4,12.7,51.1
1723327200,22.1,15.4,12.0,55.5
1723413600,23.0,14.0,16.7,59.8
1723500000,23.3,12.4,12.7,34.9
1723586400,20.8,12.2,14.1,20.3
1723672800,15.9,12.0,13.1,14.6
1723759200,16.2,11.8,12.8,19.3
1723845600,12.4,11.8,12.1,17.9
1723932000,3.1,7.3,11.1,6.0
1724018400,2.8,5.9,10.5,5.1
1724104800,3.2,0.9,26.0,12.9
1724191200,3.0,0.5,25.4,7.7
1724277600,3.6,4.3,14.3,12.9
1724364000,4.6,0.7,22.0,19.4
1724450400,7.4,1.0,14.7,25.2
1724536800,9.8,1.3,14.6,29.3
1724623200,10.5,2.3,14.5,32.0
1724709600,12.1,4.1,14.4,36.5
1724796000,14.1,7.4,14.2,42.2
1724882400,16.3,10.6,14.5,48.6
1724968800,17.9,11.3,14.5,53.8
1725055200,17.8,11.8,14.2,55.0
1725141600,18.7,12.5,16.5,57.5
1725228000,20.2,17.4,22.0,59.3
1725314400,21.7,16.5,12.7,46.8
1725400800,22.1,13.5,12.9,27.8
1725487200,22.0,13.9,13.3,28.5
1725573600,22.9,13.7,13.0,33.9
1725660000,24.1,17.7,13.0,39.9
1725746400,25.4,14.4,12.6,47.8
1725832800,8.6,14.2,15.8,44.8
1725919200,9.4,13.5,14.3,33.9
1726005600,8.4,13.3,12.3,31.6
1726092000,9.4,16.5,12.9,27.8
1726178400,10.3,13.0,12.3,27.9
1726264800,10.7,13.5,12.3,29.4
1726351200,11.4,13.1,20.9,31.8
1726437600,12.4,13.2,12.5,33.3
1726524000,13.4,13.2,12.5,34.5
1726610400,14.6,13.3,12.5,22.0
1726696800,15.5,13.2,12.3,10.1
1726783200,16.4,13.1,17.0,16.6
1726869600,17.8,13.3,16.4,23.0
1726956000,19.2,13.5,12.2,28.1
1727042400,20.6,13.7,12.3,32.1
1727128800,21.9,13.8,12.4,35.1
1727215200,21.6,14.4,18.1,37.6
1727301600,9.6,9.2,10.8,31.8
1727388000,6.6,3.4,10.1,20.7
1727474400,7.2,6.1,10.0,14.9
1727560800,9.9,2.6,10.4,12.9
1727647200,10.1,3.0,9.2,14.0
1727733600,6.7,2.1,7.7,6.5
1727820000,5.3,1.3,6.1,3.3
1727906400,6.0,1.2,5.6,4.1
1727992800,6.5,1.3,7.2,5.4
1728079200,7.3,1.4,6.0,10.3
1728165600,9.9,1.5,6.1,12.0
1728252000,10.2,1.6,5.4,13.4
1728338400,10.3,1.6,6.5,14.7
1728424800,10.3,11.9,6.7,14.9
1728511200,6.5,1.8,6.4,6.0
1728597600,6.4,1.0,5.4,6.9
1728684000,9.2,1.2,5.1,5.7
1728770400,9.9,1.5,5.1,8.5
1728856800,10.0,1.5,18.0,10.2
1728943200,10.3,1.7,18.9,11.4
1729029600,10.6,1.9,23.3,12.6
1729116000,10.8,2.0,10.0,14.5
1729202400,10.9,1.8,12.2,15.8
1729288800,11.0,1.7,11.2,12.5
1729375200,10.6,1.6,10.1,12.3
1729461600,10.6,1.5,8.6,12.8
1729548000,10.3,1.5,11.1,12.6
1729634400,10.4,1.6,13.2,12.8
1729720800,10.7,1.8,9.9,13.3
1729807200,10.8,2.1,8.1,14.4
1729893600,10.9,2.1,13.0,16.0
1729980000,11.1,2.1,12.4,17.1
1730070000,11.4,2.2,10.0,18.3
1730156400,11.7,2.4,23.3,19.3
1730242800,11.9,2.8,21.6,19.8
1730329200,12.4,3.7,11.0,21.0
1730415600,13.1,4.8,10.9,22.5
1730502000,13.8,7.5,10.4,23.9
1730588400,15.1,7.6,8.7,26.3
1730674800,15.8,10.0,6.9,27.2
1730761200,16.2,10.4,6.4,27.5
1730847600,16.8,10.6,6.8,28.0
1730934000,17.4,11.0,7.1,28.5
1731020400,18.2,11.1,9.2,29.6
1731106800,18.8,11.4,10.0,30.2
1731193200,19.4,11.7,10.2,30.6
1731279600,19.1,15.0,10.3,30.5
1731366000,16.0,12.1,10.5,27.9
1731452400,15.5,12.2,13.6,24.6
1731538800,10.5,12.0,10.7,6.9
1731625200,10.4,10.6,11.0,6.7
