timestamp_unix,30,60,90,Ballen
1715724000,13.4,10.1,22.0,24.6
1715810400,12.4,12.0,17.1,24.7
1715896800,13.5,15.3,11.8,16.0
1715983200,13.9,11.1,8.7,14.7
1716069600,16.7,13.0,7.6,18.4
1716156000,13.6,10.7,19.6,21.1
1716242400,13.6,12.7,14.2,24.9
1716328800,12.1,15.0,3.5,17.9
1716415200,7.4,13.7,8.3,15.7
1716501600,9.9,13.5,6.5,18.8
1716588000,8.8,11.6,0.7,21.5
1716674400,9.3,5.3,3.4,25.7
1716760800,10.6,18.3,6.2,29.9
1716847200,5.3,15.2,3.4,25.1
1716933600,1.2,17.8,2.2,19.5
1717020000,8.0,14.7,2.7,11.9
1717106400,6.4,11.5,11.3,8.9
1717192800,3.5,8.0,3.5,10.8
1717279200,10.6,9.7,9.0,9.6
1717365600,15.0,8.3,0.0,15.0
1717452000,1.7,11.2,13.8,20.0
1717884000,8.7,0.7,2.8,48.3
1717970400,9.3,3.4,5.3,52.7
1718056800,10.5,3.9,8.2,57.4
1718143200,10.9,4.3,2.3,60.5
1718229600,11.4,9.2,0.6,64.0
1718316000,13.4,11.1,31.1,26.3
1718402400,11.1,5.7,0.0,26.3
1718488800,10.7,11.1,0.0,29.9
1718575200,10.7,8.4,7.6,27.6
1718661600,10.9,12.3,0.0,17.8
1718748000,14.0,14.7,1.4,13.4
1718834400,6.9,16.7,0.0,18.8
1718920800,5.8,14.6,0.0,22.9
1719007200,1.5,6.5,3.1,28.7
1719093600,1.7,14.3,0.0,36.1
1719180000,3.1,10.1,2.5,36.7
1719266400,7.2,3.4,0.0,30.8
1719352800,4.6,6.5,2.8,38.3
1719439200,5.5,0.2,0.2,45.9
1719525600,8.5,1.3,0.0,53.5
1719612000,10.0,2.6,0.0,59.7
1719698400,4.7,0.4,5.6,36.6
1719784800,0.7,2.8,7.5,12.5
1719871200,0.6,1.4,13.5,12.3
1719957600,3.8,0.4,3.9,14.9
1720044000,1.3,0.6,3.3,14.3
1720130400,4.1,0.4,1.8,17.3
1720216800,1.7,0.2,2.8,24.0
1720303200,5.3,5.2,2.3,31.8
1720389600,2.1,0.2,9.7,31.8
