timestamp_unix,30,60,90,Ballen
1715724000,18.7,18.7,5.8,25.7
1715810400,18.9,18.6,12.5,26.2
1715896800,18.7,12.4,9.9,8.6
1715983200,10.9,12.3,12.0,15.2
1716069600,17.3,11.0,7.2,19.0
1716156000,14.9,12.1,9.8,20.1
1716242400,13.1,12.4,9.9,20.1
1716328800,14.5,9.8,7.3,8.1
1716415200,16.6,4.5,5.4,15.4
1716501600,12.8,9.4,5.1,24.3
1716588000,16.8,6.0,0.1,15.1
1716674400,19.0,6.0,5.2,20.3
1716760800,15.5,7.7,1.1,21.9
1716847200,20.3,5.7,6.4,14.8
1716933600,12.0,2.6,13.8,9.8
1717020000,15.0,2.1,12.0,17.8
1717106400,14.7,1.0,14.2,16.8
1717192800,22.3,13.1,14.0,13.4
1717279200,36.4,1.1,13.5,13.8
1717365600,44.0,1.3,9.5,21.0
1717452000,52.9,1.7,9.6,33.5
1717624800,21.1,3.8,0.2,37.8
1717711200,15.2,7.2,6.2,44.1
1717797600,17.3,10.2,5.0,48.2
1717884000,21.2,10.9,13.8,50.9
1717970400,19.5,11.6,2.9,54.2
1718056800,25.2,12.4,4.6,59.2
1718143200,22.6,13.0,4.2,62.6
1718229600,17.4,13.8,5.1,68.1
1718316000,17.7,9.9,5.2,36.4
1718402400,15.7,11.1,3.5,21.1
1718488800,16.0,11.6,3.8,31.2
1718575200,12.3,11.4,4.3,29.7
1718661600,11.8,12.8,5.9,16.4
1718748000,12.4,1.9,3.2,5.1
1718834400,12.7,1.7,2.6,18.4
1718920800,12.2,5.3,2.4,26.4
1719007200,12.3,2.7,2.7,35.3
1719093600,12.4,5.1,3.0,45.3
1719180000,20.4,8.9,3.3,42.4
1719266400,12.1,10.2,3.3,27.1
1719352800,12.4,10.7,3.3,43.8
1719439200,12.6,11.1,5.6,49.3
1719525600,13.6,11.8,3.6,54.8
1719612000,19.5,12.5,3.8,60.5
1719698400,13.8,6.1,4.9,25.7
1719784800,11.2,0.6,5.9,21.5
1719871200,11.5,0.9,1.3,17.9
1719957600,17.2,1.2,1.5,11.5
1720044000,19.3,1.6,1.4,21.9
1720130400,15.3,1.9,1.2,18.0
1720216800,10.9,2.4,6.6,24.2
1720303200,11.4,5.2,0.5,33.4
1720389600,3.3,3.6,0.7,25.9
1720476000,12.3,4.4,1.4,24.7
1720562400,14.2,7.2,1.7,33.2
1720648800,10.8,5.2,0.7,21.0
1720735200,11.4,5.3,0.4,18.0
1720821600,14.1,5.6,0.3,20.3
1720908000,11.4,3.1,0.5,24.7
1720994400,11.6,3.8,0.7,36.4
1721080800,11.2,7.2,0.7,30.4
1721167200,15.6,5.8,0.6,19.7
1721253600,12.0,5.4,9.4,27.6
1721340000,12.2,6.8,7.4,41.3
1721426400,12.3,10.0,1.6,50.8
1721512800,12.4,10.5,2.0,55.2
1721599200,12.0,8.2,1.9,26.9
1721685600,11.8,6.7,1.0,14.0
1721772000,11.8,1.2,0.4,12.2
1721858400,12.0,1.9,0.8,21.6
1721944800,12.2,2.8,1.0,32.6
1722031200,11.9,4.1,1.3,39.2
1722117600,11.9,1.0,9.8,8.4
1722204000,11.8,1.2,2.0,19.9
1722290400,11.7,1.4,6.1,33.9
1722376800,12.1,1.7,0.4,49.0
1722463200,19.3,3.4,0.1,55.4
1722549600,17.4,7.4,0.4,60.5
1722636000,20.8,10.5,0.9,67.5
1722722400,16.7,11.5,3.7,77.4
1722808800,19.3,12.3,2.4,35.0
1722895200,19.6,12.4,2.3,31.6
1722981600,20.7,12.7,4.7,50.1
1723068000,22.7,13.4,2.9,58.2
1723154400,24.6,14.2,3.5,64.4
1723240800,26.2,14.9,5.7,69.7
1723327200,27.6,15.4,5.0,75.5
1723413600,29.2,15.9,5.6,84.9
1723500000,28.9,13.9,6.1,37.1
1724709600,22.6,15.0,6.5,65.3
1726092000,25.5,17.4,10.5,34.7
1726178400,25.6,17.5,10.6,43.9
1726264800,26.4,17.7,11.4,54.9
1726351200,27.6,17.9,12.2,63.7
1726437600,28.5,18.0,10.9,68.6
1726524000,29.3,18.1,11.1,70.7
1726610400,30.0,17.9,14.9,45.0
1726696800,29.4,16.8,11.6,18.8
1726783200,29.2,16.7,17.5,29.2
1726869600,30.1,16.8,10.6,40.8
1726956000,31.4,17.1,10.6,51.8
1727042400,32.8,17.3,10.9,59.4
1727128800,34.1,20.6,11.6,64.1
1727215200,33.8,17.8,10.8,66.0
1727301600,21.8,16.6,11.3,56.1
1727388000,11.8,14.9,11.7,29.9
1727474400,10.0,12.7,11.8,18.8
1727560800,9.9,12.1,10.8,18.6
1727647200,10.1,12.6,10.9,24.2
1727733600,7.0,7.0,12.7,10.7
1727820000,4.8,1.8,10.3,6.1
1727906400,5.1,2.5,12.3,6.8
1727992800,5.4,9.4,14.3,9.6
1728079200,5.8,5.5,13.7,13.4
1728165600,6.1,5.5,12.8,16.3
1728252000,6.4,6.5,15.0,19.6
1728338400,6.4,10.4,12.8,21.9
1728424800,6.1,10.4,14.4,23.0
1728511200,4.4,8.5,15.1,10.3
1728597600,4.7,2.5,14.8,6.1
1728684000,5.4,3.9,14.0,8.3
1728770400,5.5,3.4,15.4,7.6
1728856800,5.6,3.7,14.2,10.9
1728943200,6.0,4.2,15.5,10.8
1729029600,6.4,5.2,14.5,13.3
1729116000,6.4,8.5,14.2,15.8
1729202400,6.1,10.2,11.0,17.0
1729375200,6.4,11.1,15.2,16.4
1729461600,6.2,11.3,14.6,16.2
1729548000,5.5,11.3,14.4,16.1
1729634400,5.5,11.4,13.9,16.0
1729720800,6.1,11.4,13.9,16.7
1729807200,6.4,11.6,14.6,17.7
1729893600,6.7,11.7,14.9,18.9
1729980000,7.8,12.0,11.2,20.1
1730070000,11.1,12.3,13.7,21.3
1730156400,10.8,12.7,14.0,22.2
1730242800,11.7,13.0,14.1,22.6
1730329200,12.6,13.3,12.8,23.7
1730415600,13.7,13.7,13.0,25.2
1730502000,14.7,14.1,13.2,26.5
1730588400,16.2,14.7,12.1,28.9
1730674800,17.2,15.2,11.6,29.9
1730761200,17.8,15.6,11.3,29.8
1730847600,18.6,15.9,11.2,30.2
1730934000,19.5,16.3,11.5,30.6
1731020400,20.4,16.6,11.6,30.8
1731106800,21.1,17.0,11.6,30.9
1731193200,21.8,17.3,11.6,31.1
1731279600,22.3,17.5,11.7,30.8
1731366000,22.2,17.6,11.7,29.0
1731452400,21.8,17.8,11.8,27.7
1731538800,16.8,17.7,12.1,10.6
1731625200,10.3,16.8,11.9,16.0
1731711600,10.2,15.2,11.8,10.0
1731798000,10.3,14.3,11.7,10.1
1731884400,10.3,13.2,11.6,15.6
1731970800,10.4,8.5,11.3,10.3
1732057200,10.5,5.7,10.1,13.6
1732143600,10.6,6.1,10.2,13.0
1732230000,10.7,7.7,10.2,10.6
1732316400,10.7,6.8,10.7,10.6
1732402800,10.5,6.7,11.0,16.6
1732489200,23.6,6.3,10.5,10.0
1732575600,13.3,5.9,10.4,10.0
1732662000,10.2,6.0,12.0,10.1
1732748400,10.1,6.1,10.7,10.1
1732834800,10.2,5.9,11.0,10.2
1732921200,10.5,6.3,11.1,10.4
1733007600,10.7,6.9,11.3,10.6
1733094000,10.7,11.8,10.7,10.7
1733180400,13.2,9.9,12.3,10.5
1733266800,10.6,10.6,11.5,10.8
1733353200,10.7,10.9,11.9,12.2
1733439600,10.6,8.8,11.2,10.5
1733526000,10.4,8.3,11.2,10.3
1733612400,10.4,10.0,10.1,10.4
1733698800,10.4,10.9,10.5,15.2
1733785200,10.3,12.4,10.3,10.3
1733871600,10.4,13.5,11.5,10.4
1733958000,12.1,12.0,10.3,10.5
1734044400,10.6,11.6,10.8,10.6
1734130800,10.8,8.8,11.4,10.8
1734217200,10.8,11.2,10.6,10.8
1734303600,10.5,10.8,10.8,10.4
1734390000,10.2,12.3,10.7,10.2
1734476400,10.2,13.6,12.0,10.2
