timestamp_unix,30,60,90,Ballen
1715724000,19.3,13.5,7.5,40.3
1715810400,20.8,12.8,10.8,42.8
1715896800,23.8,11.9,11.0,32.9
1715983200,21.7,18.2,10.5,20.1
1716069600,21.6,14.8,18.4,29.0
1716156000,19.7,13.1,16.6,35.1
1716242400,18.0,13.3,8.7,41.1
1716328800,16.6,9.4,8.4,38.9
1716415200,17.3,2.8,9.8,24.5
1716501600,21.4,3.3,12.0,31.0
1716588000,17.7,26.6,11.1,34.4
1716674400,16.5,23.0,11.2,38.8
1716760800,13.6,31.5,10.6,41.6
1716847200,14.1,22.2,15.4,38.7
1716933600,21.2,24.5,16.8,30.7
1717020000,9.2,16.0,11.5,15.0
1717106400,6.3,17.1,12.1,10.4
1717192800,11.2,13.7,13.1,18.2
1717279200,9.9,8.3,11.9,19.7
1717365600,7.6,9.5,11.8,23.0
1717452000,15.0,0.0,11.5,29.5
1717538400,37.0,0.2,11.2,36.4
1717624800,10.1,3.5,13.4,45.2
1717711200,6.5,0.0,9.4,51.3
1717797600,25.9,0.0,9.2,54.6
1717884000,14.3,1.9,11.4,57.4
1717970400,13.9,4.0,1.9,62.1
1718056800,14.9,7.3,0.4,69.1
1718143200,18.3,2.3,0.1,74.8
1718229600,16.6,4.3,25.1,77.6
1718316000,17.6,18.1,0.0,38.0
1718402400,17.3,9.9,0.0,20.2
1718488800,17.0,13.6,0.0,35.1
1718575200,11.4,9.2,5.7,21.2
1718661600,2.5,5.5,14.4,16.9
1718748000,0.4,1.3,0.0,18.0
1718920800,15.8,0.0,7.5,29.6
1719180000,9.8,0.0,0.0,13.9
1719266400,10.9,0.0,0.0,24.0
1719352800,12.0,0.0,0.0,42.4
1719439200,13.3,0.0,0.0,50.2
1719525600,14.7,2.7,0.0,57.6
1719612000,15.4,5.6,0.0,64.7
1719698400,11.3,10.2,0.0,16.0
1719784800,0.8,0.0,0.0,12.1
1719871200,0.7,0.0,0.0,11.3
1719957600,0.6,0.6,0.0,21.1
1720216800,0.2,0.0,0.0,29.2
1720476000,4.0,0.0,0.0,32.5
1720562400,9.8,0.0,0.0,42.1
1720908000,0.5,0.0,0.0,27.1
1721080800,2.0,0.0,0.0,10.1
1721167200,1.7,0.0,0.0,28.2
1721253600,2.2,0.0,0.0,27.2
1721340000,5.7,0.0,0.0,41.2
1721426400,10.4,0.0,0.0,49.3
1721512800,12.1,0.0,0.0,55.6
1721685600,0.1,0.0,0.0,15.3
1721772000,0.0,0.0,0.0,9.9
1721944800,5.4,0.0,0.0,34.7
1722117600,0.0,0.0,0.0,3.4
1722204000,0.0,0.0,0.0,11.7
1722290400,0.0,0.0,0.0,31.1
1722463200,2.2,0.0,0.0,52.8
1722549600,10.7,0.0,3.7,60.2
1722636000,12.8,0.0,5.9,66.4
1722722400,13.8,0.0,5.2,70.7
1722808800,16.4,3.3,3.1,20.6
1722895200,16.7,4.5,3.0,25.3
1722981600,17.2,6.5,3.1,42.3
1723068000,18.8,10.8,3.2,53.5
1723240800,20.6,12.6,0.2,64.5
1723327200,21.3,13.9,0.6,71.5
1723413600,22.4,14.4,0.6,79.5
1723586400,21.3,13.8,2.6,19.2
1723759200,18.8,13.6,2.7,34.5
1724536800,11.0,0.0,2.6,51.0
1724623200,12.8,0.8,2.7,60.2
1724709600,14.0,4.5,2.1,63.1
1725055200,20.2,13.6,3.7,87.7
1725141600,21.4,14.7,5.2,102.8
1725228000,23.2,15.8,9.8,114.9
1725314400,23.2,16.0,14.2,17.5
1725487200,22.2,14.9,9.9,27.7
1725573600,22.1,15.0,9.9,41.4
1725660000,23.1,15.4,10.0,51.6
1725746400,24.2,16.1,10.3,57.1
1725832800,23.1,16.3,10.6,62.0
1726092000,18.9,16.0,11.3,68.3
1726178400,19.2,16.2,11.0,71.6
1726264800,19.8,16.5,11.0,75.1
1726351200,20.7,16.9,11.1,78.0
1726437600,21.5,17.1,11.6,79.6
1726524000,22.0,17.3,11.4,80.7
1726610400,22.5,17.3,11.5,47.0
1726696800,21.6,16.3,11.0,16.2
1726783200,21.2,15.5,10.7,22.9
1726869600,21.7,15.4,10.6,31.2
1726956000,22.4,15.7,10.7,39.5
1727042400,23.2,16.0,16.3,48.1
1727128800,24.0,16.4,13.8,54.2
1727215200,23.7,16.7,11.1,60.0
1727301600,19.6,16.6,11.2,63.5
1727388000,12.1,15.4,11.1,66.9
1727474400,13.0,14.7,12.0,71.0
1727560800,7.0,14.3,10.9,73.5
1727647200,9.3,14.1,10.9,73.8
1727733600,4.7,13.7,12.4,67.5
1727820000,1.7,1.3,10.4,15.6
1727906400,2.0,1.1,10.1,16.2
1727992800,2.2,1.1,10.1,16.6
1728079200,2.7,1.1,11.1,18.9
