RMSE,NRMSE,Pearson,Kendall,Spearman
"{'Tree': 1, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.026648821740752428)}","{'Tree': 1, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.8558303780543616)}","{'Tree': 1, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.5172565746313202)}","{'Tree': 1, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.44322522269931863)}","{'Tree': 1, 'Depth': '30', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.5953325096957242)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': nan}","{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.4310358195725694)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(1.0991256332480108)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.6964875737569418)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.5913663238837276)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.7504539043705152)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': nan}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': nan}","{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(0.48689962683353616)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(1.2415763061230463)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.6136128165680744)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.39752662839879116)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.5385788250040447)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': nan}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': nan}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': nan}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': nan}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '30', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}"
