timestamp_unix,30,60,Ballen
1717152585,,,95.0
1717155975,95.0,,
1717156527,,83.0,
1717171925,,,96.0
1717175110,96.0,,
1717175372,,84.0,
1717191256,,,96.0
1717194214,,84.0,
1717194243,96.0,,
1717210581,,,96.0
1717213052,,84.0,
1717213371,95.0,,
1717229907,,,92.0
1717231899,,81.0,
1717232499,92.0,,
1717249261,,,93.0
1717250757,,81.0,
1717251653,93.0,,
1717268637,,,95.0
1717269642,,83.0,
1717270828,95.0,,
1717287993,,,95.0
1717288508,,84.0,
1717289982,95.0,,
1717307340,,,96.0
1717307360,,85.0,
1717309121,96.0,,
1717326201,,86.0,
1717326669,,,96.0
1717328250,96.0,,
1717345040,,86.0,
1717345996,,,97.0
1717347379,97.0,,
1717363875,,87.0,
1717365318,,,99.0
1717366501,98.0,,
1717382709,,88.0,
1717384628,,,99.0
1717385611,98.0,,
1717401525,,86.0,
1717403929,,,97.0
1717404716,97.0,,
1717420344,,86.0,
1717423247,,,97.0
1717423827,97.0,,
1717439170,,87.0,
1717442559,,,98.0
1717442942,98.0,,
1717457994,,87.0,
1717461875,,,98.0
1717462053,98.0,,
1717476824,,86.0,
1717481162,96.0,,
1717481191,,,96.0
1717495649,,84.0,
1717500281,95.0,,
1717500504,,,95.0
1717514489,,85.0,
1717519414,96.0,,
1717519833,,,96.0
1717533336,,86.0,
1717538547,97.0,,
1717539163,,,97.0
1717552172,,86.0,
1717557667,97.0,,
1717558497,,,97.0
1717571000,,86.0,
1717576784,95.0,,
1717577809,,,95.0
1717589829,,85.0,
1717595905,96.0,,
1717597129,,,96.0
1717608672,,86.0,
1717615037,98.0,,
1717616456,,,97.0
1717627505,,88.0,
1717634153,100.0,,
1717635786,,,99.0
1717646324,,88.0,
1717653253,97.0,,
1717655081,,,96.0
1717665133,,84.0,
1717672354,94.0,,
1717674378,,,93.0
1717683964,,84.0,
1717691502,96.0,,
1717693713,,,95.0
1717702817,,86.0,
1717710639,97.0,,
1717713062,,,97.0
1717721655,,86.0,
1717729756,97.0,,
1717732373,,,97.0
1717740478,,85.0,
1717748864,93.0,,
1717751678,,,92.0
1717759301,,82.0,
1717767991,93.0,,
1717771006,,,93.0
1717778172,,84.0,
1717787150,96.0,,
1717790361,,,95.0
1717797032,,86.0,
1717806296,97.0,,
1717809692,,,96.0
1717815872,,86.0,
1717825413,95.0,,
1717829003,,,93.0
1717834696,,82.0,
1717844526,91.0,,
1717848335,,,93.0
1717853538,,82.0,
1717863688,93.0,,
1717872418,,84.0,
1717882847,95.0,,
1717887123,,,95.0
1717891278,,86.0,
1717901980,97.0,,
1717906451,,,95.0
1717910117,,86.0,
1717921094,93.0,,
1717925760,,,90.0
1717928941,,81.0,
1717940220,93.0,,
1717945112,,,92.0
1717947800,,83.0,
1717959387,95.0,,
1717964472,,,94.0
1717966670,,85.0,
1717978526,97.0,,
1717983802,,,95.0
1717985514,,86.0,
1717997644,95.0,,
1718003114,,,94.0
1718004341,,85.0,
1718016757,95.0,,
1718022427,,,94.0
1718023171,,85.0,
1718035879,97.0,,
1718041744,,,95.0
1718042005,,86.0,
1718054995,98.0,,
1718060830,,87.0,
1718061053,,,96.0
1718074096,99.0,,
1718079642,,88.0,
1718080347,,,96.0
1718093189,95.0,,
1718098446,,84.0,
1718099634,,,93.0
1718112290,96.0,,
1718117267,,86.0,
1718118941,,,95.0
1718131422,98.0,,
1718136097,,87.0,
1718138255,,,96.0
1718150526,99.0,,
1718154912,,87.0,
1718157557,,,96.0
1718169620,97.0,,
1718173716,,86.0,
1718176843,,,94.0
1718188714,95.0,,
1718192524,,84.0,
1718196144,,,93.0
1718207832,97.0,,
1718211357,,86.0,
1718215466,,,95.0
1718226952,98.0,,
1718230186,,87.0,
1718234775,,,96.0
1718246053,99.0,,
1718248997,,87.0,
1718254065,,,95.0
1718265142,96.0,,
1718267796,,85.0,
1718273359,,,93.0
1718284238,95.0,,
1718286607,,84.0,
1718292692,,,93.0
1718303361,96.0,,
1718305442,,85.0,
1718312013,,,94.0
1718322479,97.0,,
1718324271,,86.0,
1718331322,,,96.0
1718341585,97.0,,
1718343089,,85.0,
1718350620,,,95.0
1718360690,95.0,,
1718361905,,84.0,
1718369928,,,95.0
1718379813,96.0,,
1718380742,,84.0,
1718389251,,,96.0
1718398935,97.0,,
1718399578,,85.0,
1718408568,,,97.0
1718418048,97.0,,
1718418405,,86.0,
1718427876,,,96.0
1718437159,95.0,,
1718437228,,84.0,
1718447185,,,94.0
1718456057,,84.0,
1718456273,95.0,,
1718466508,,,95.0
1718474903,,85.0,
1718475407,96.0,,
1718485837,,,96.0
1718493740,,86.0,
1718494529,97.0,,
1718505149,,,96.0
1718512563,,86.0,
1718513637,96.0,,
1718524452,,,92.0
1718531384,,82.0,
1718532746,93.0,,
1718543772,,,93.0
1718550234,,83.0,
1718551888,94.0,,
1718563122,,,94.0
1718569095,,84.0,
1718571034,95.0,,
1718582457,,,95.0
1718587939,,85.0,
1718590163,95.0,,
1718601776,,,94.0
1718606772,,83.0,
1718609280,93.0,,
1718621095,,,93.0
1718625611,,85.0,
1718628409,94.0,,
1718640459,,,95.0
1718644477,,86.0,
1718647562,95.0,,
1718659801,,,96.0
1718663329,,86.0,
1718666697,96.0,,
1718679125,,,96.0
1718682168,,86.0,
1718685818,95.0,,
1718698440,,,93.0
1718700999,,84.0,
1718704935,93.0,,
1718717771,,,94.0
1718719857,,87.0,
1718724078,95.0,,
1718737115,,,95.0
1718738714,,87.0,
1718743219,96.0,,
1718756462,,,96.0
1718757558,,88.0,
1718762345,97.0,,
1718775779,,,96.0
1718776392,,87.0,
1718781463,95.0,,
1718795096,,,94.0
1718795223,,85.0,
1718800583,95.0,,
1718814074,,86.0,
1718814430,,,96.0
1718819726,97.0,,
1718832921,,88.0,
1718833778,,,97.0
1718838851,98.0,,
1718851751,,88.0,
1718853089,,,97.0
1718857961,97.0,,
1718870696,,84.0,
1718872388,,,93.0
1718877062,94.0,,
1718889525,,84.0,
1718891705,,,94.0
1718896192,95.0,,
1718908387,,86.0,
1718911045,,,95.0
1718915331,95.0,,
1718927235,,86.0,
1718930393,,,95.0
1718934461,96.0,,
1718946074,,85.0,
1718949716,,,93.0
1718953584,94.0,,
1718964915,,83.0,
1718969043,,,92.0
1718972719,93.0,,
1718983775,,84.0,
1718988404,,,93.0
1718991870,95.0,,
1719002640,,85.0,
1719007764,,,95.0
1719011015,96.0,,
1719021495,,86.0,
1719027097,,,95.0
1719030147,96.0,,
1719040334,,84.0,
1719046429,,,91.0
1719049267,92.0,,
1719059173,,82.0,
1719065772,,,91.0
1719068410,93.0,,
1719078048,,84.0,
1719085153,,,93.0
1719087573,95.0,,
1719096912,,85.0,
1719104514,,,94.0
1719106713,96.0,,
1719115759,,85.0,
1719123842,,,92.0
1719125838,93.0,,
1719134597,,82.0,
1719143183,,,89.0
1719144968,92.0,,
1719153457,,82.0,
1719162547,,,91.0
1719164137,93.0,,
1719172341,,84.0,
1719181905,,,93.0
1719183293,95.0,,
1719191205,,85.0,
1719201244,,,93.0
1719202430,95.0,,
1719210053,,84.0,
1719220570,,,88.0
1719221558,90.0,,
1719228897,,80.0,
1719239923,,,90.0
1719240714,91.0,,
1719247785,,82.0,
1719259311,,,90.0
1719259893,93.0,,
1719266675,,83.0,
1719279050,93.0,,
1719285543,,84.0,
1719298190,91.0,,
1719304396,,78.0,
1719317333,87.0,,
1719317550,,,86.0
1719323292,,78.0,
1719336549,90.0,,
1719336967,,,88.0
1719342225,,81.0,
1719355746,92.0,,
1719356370,,,90.0
1719361131,,82.0,
1719374914,93.0,,
1719375741,,,90.0
1719380013,,82.0,
1719394066,86.0,,
1719395094,,,83.0
1719398882,,76.0,
1719413264,87.0,,
1719414494,,,85.0
1719417809,,78.0,
1719432497,89.0,,
1719433949,,,87.0
1719436750,,80.0,
1719451699,91.0,,
1719453355,,,88.0
1719455663,,81.0,
1719470878,87.0,,
1719472750,,,83.0
1719474558,,77.0,
1719490063,89.0,,
1719492142,,,86.0
1719493465,,80.0,
1719509296,91.0,,
1719511566,,,88.0
1719512396,,81.0,
1719528483,92.0,,
1719530974,,,89.0
1719531298,,82.0,
1719547651,93.0,,
1719550182,,83.0,
1719550363,,,90.0
1719566807,88.0,,
1719569052,,78.0,
1719569727,,,84.0
1719585981,90.0,,
1719587946,,80.0,
1719589111,,,87.0
1719605180,92.0,,
1719606856,,82.0,
1719608509,,,88.0
1719624349,93.0,,
1719625741,,84.0,
1719627880,,,90.0
1719643498,90.0,,
1719644605,,81.0,
1719647227,,,83.0
1719662648,86.0,,
1719663472,,77.0,
1719681868,89.0,,
1719682404,,80.0,
1719686160,,,86.0
1719701073,93.0,,
1719701326,,84.0,
1719705565,,,90.0
1719720216,,85.0,
1719720244,93.0,,
1719724934,,,93.0
1719739088,,86.0,
1719739399,93.0,,
1719744289,,,93.0
1719757948,,85.0,
1719758542,94.0,,
1719763645,,,93.0
1719776810,,86.0,
1719777687,95.0,,
1719782990,,,94.0
1719795664,,88.0,
1719796824,95.0,,
1719802326,,,95.0
1719814508,,86.0,
1719815952,95.0,,
1719821649,,,94.0
1719833351,,85.0,
1719835079,95.0,,
1719840976,,,94.0
1719852213,,86.0,
1719854216,96.0,,
1719860312,,,95.0
1719871061,,87.0,
1719873345,97.0,,
1719879634,,,96.0
1719889894,,88.0,
1719892461,97.0,,
1719898944,,,96.0
1719908720,,86.0,
1719911572,96.0,,
1719918250,,,95.0
1719927550,,87.0,
1719930689,97.0,,
1719937565,,,96.0
1719946386,,88.0,
1719949809,97.0,,
1719956877,,,97.0
1719965213,,88.0,
1719968920,98.0,,
1719976178,,,97.0
1719984030,,88.0,
1719988030,97.0,,
1719995471,,,96.0
1720002847,,87.0,
1720007144,97.0,,
1720014772,,,96.0
1720021671,,88.0,
1720026254,98.0,,
1720034094,,,97.0
1720040494,,88.0,
1720045361,99.0,,
1720053394,,,97.0
1720059310,,88.0,
1720064460,98.0,,
1720072684,,,96.0
1720078121,,87.0,
1720083558,96.0,,
1720091996,,,95.0
1720096936,,86.0,
1720102664,97.0,,
1720111313,,,96.0
1720115768,,88.0,
1720121783,98.0,,
1720130636,,,97.0
1720134592,,88.0,
1720140886,100.0,,
1720149927,,,97.0
1720153404,,88.0,
1720159979,97.0,,
1720169215,,,96.0
1720172209,,87.0,
1720179075,97.0,,
1720188509,,,95.0
1720191027,,86.0,
